cas_id;generator;perfil_nom;mecr;dua;paraules;text_adaptat
BAT_INST__P1;gemini;Nouvingut àrab pre-A1 DUA Accés;pre-A1;Acces;1108;"## Text adaptat

### Què és el treball de recerca?

El **treball de recerca** (بحث مدرسي) és una tasca important.
Tots els alumnes de batxillerat a Catalunya han de fer-lo.
El treball de recerca és obligatori.
És una part gran de les notes.
Cal treballar unes 70 hores.
En el treball de recerca, investigues un tema.
Tu tries el tema.
Tu prepares el tema.

### Fase 1: Començar el treball

Primer, pensa en el tema.
Pregunta't:
1.  Vull escriure sobre un tema?
2.  Quina informació necessito?
3.  Quantes parts tindrà el meu treball?
Després, fes una **hipòtesi** (فرضية).
Una hipòtesi és una idea.
És una resposta possible al teu tema.
La hipòtesi és una resposta provisional.

### Fase 2: Buscar informació

Ara, busca informació.
Pots buscar informació de moltes maneres.
Si busques en llibres, això és **recerca bibliogràfica** (بحث في المراجع).
Pots anar a la biblioteca.
Pots llegir revistes.
Pots llegir diaris.
Pots llegir llibres.
Pots usar internet.
Si necessites informació nova, fes **enquestes** (استبيانات).
Una enquesta és fer preguntes a la gent.
També pots fer **entrevistes** (مقابلات).
Una entrevista és parlar amb algú per obtenir informació.
És important apuntar d'on has tret la informació.

### Fase 3: Escriure el treball

Ja tens la informació.
Ara, organitza la informació.
Fes un **índex** (فهرس).
L'índex és una llista de les parts del treball.
Escriu el treball amb les teves paraules.
No copiïs d'altres llocs.
Si copies una frase, posa-la entre cometes.
També has de dir d'on has tret la frase.

### Fase 4: Parts del treball

El teu treball ha de tenir aquestes parts:
1.  Un **índex** (فهرس): la llista de les parts i les pàgines.
2.  Una **introducció** (مقدمة): explica per què fas el treball.
3.  El **cos central** (الجزء الرئيسي): les parts amb la informació.
4.  Les **conclusions** (الاستنتاجات): el que has après.
5.  Una opinió personal: el que tu penses.
6.  La **bibliografia** (قائمة المراجع): la llista de tots els llibres i webs que has usat.

### Fase "
BAT_INST__P3;gemini;TDAH combinat A2 DUA Core;A2;Core;770;"## Text adaptat

### Què és el treball de recerca?
El **treball de recerca** (un projecte d'investigació) és obligatori per a tots els estudiants de batxillerat a Catalunya.
Aquest treball és una part important del que s'aprèn al batxillerat.
Els estudiants dediquen unes 70 hores a fer-lo.
El treball de recerca consisteix a investigar un tema.
L'estudiant tria i limita el tema.

### Fases del treball de recerca

#### Fase 1: Planificació i idea principal
[Secció 1 de 5]

Primer, cal decidir com serà el treball.
Hi ha diferents tipus de treballs de recerca:
1.  És obligatori per a tota la classe?
2.  Té un guió obert o ja està definit?
3.  Tracta d'una sola assignatura o de diverses?
4.  Quines eines s'utilitzaran per investigar?

Després, cal crear una **hipòtesi** (una idea inicial que pot ser la resposta al problema).
La hipòtesi és una resposta provisional al problema que es vol investigar.
L'estudiant es pot fer aquestes preguntes:
*   De què vull escriure?
*   Quina informació necessito buscar?
*   Quantes parts tindrà el meu treball?

#### Fase 2: Buscar i recollir informació
[Secció 2 de 5]

Es pot trobar informació de moltes maneres.
Si la recerca és **bibliogràfica** (es basa en llibres i documents), es poden usar:
*   Biblioteques
*   Revistes especialitzades
*   Diaris
*   Llibres de text
*   Recursos digitals (informació d'internet)

Si el treball necessita **dades primàries** (informació nova obtinguda directament), s'han d'usar:
*   Enquestes (preguntes a moltes persones)
*   Entrevistes (parlar amb experts)
*   Visites a institucions (llocs com museus o empreses)

La informació pot ser **quantitativa** (amb números) o **qualitativa** (amb descripcions).
És molt important apuntar sempre d'on s'ha tret la informació.

#### Fase 3: Organitzar i escriure
[Secció 3 de 5]

Quan ja s'ha recollit la informació, cal fer un **índex** (una llista de les parts del treball).
Després, cal classificar tot el material.
És molt important escriure amb les pròpies parau"
BAT_INST__P4;gemini;TEA nivell 2 B1 DUA Core;B1;Core;1434;"## Text adaptat

### Què és el treball de recerca?

El **treball de recerca** (un projecte d'investigació) és una tasca obligatòria per a tots els alumnes de batxillerat a Catalunya. Aquest treball és una part important del currículum escolar. Els alumnes han de dedicar unes 70 hores a fer-lo.

El treball de recerca consisteix en diverses activitats. Aquestes activitats estan organitzades. Les activitats serveixen per investigar un tema. L'alumne tria una part del tema i el delimita.

### Com es fa el treball de recerca?

El treball de recerca té cinc fases. A continuació, veurem cada fase.

#### Fase 1: Plantejament i hipòtesi

Primer, cal decidir com serà el treball. L'alumne es pot preguntar:

1.  És un treball obligatori per a tota la classe? O té un guió obert?
2.  El treball se centra en una sola assignatura? O inclou diverses assignatures (**interdisciplinari**)?
3.  Quins materials s'utilitzaran per investigar?

Després, cal crear la **hipòtesi** (una idea provisional que respon a la pregunta principal del treball). La hipòtesi és una resposta temporal al problema que s'ha plantejat. L'alumne s'ha de preguntar:

*   Sobre què vull escriure?
*   Quina informació hauré de buscar?
*   Quants apartats tindrà el treball?

#### Fase 2: Recerca i recollida de dades

En aquesta fase, l'alumne busca informació. La informació es pot obtenir de diferents maneres.

*   **Recerca bibliogràfica**: L'alumne busca informació en llocs com biblioteques, revistes especialitzades, diaris, llibres de text i recursos d'internet.
*   **Dades primàries**: L'alumne busca informació directament de les persones. Per exemple, pot fer enquestes, entrevistes o visitar institucions.

La informació recollida pot ser de dos tipus:

*   **Quantitativa**: Són dades que es poden comptar (per exemple, nombres).
*   **Qualitativa**: Són dades que descriuen qualitats (per exemple, opinions).

És molt important apuntar sempre d'on s'ha tret la informació.

#### Fase 3: Organització i redacció

Qua"
BAT_INST__P6;gemini;DI lleugera pre-A1 DUA Accés;pre-A1;Acces;808;"## Text adaptat

### Què és el treball de recerca?

El **treball de recerca** 📚 és una tasca que fan els alumnes de batxillerat.
Tots els alumnes de batxillerat de Catalunya han de fer aquest treball.
És una part important del que s'aprèn a batxillerat.
Es dediquen unes 70 hores a fer aquest treball.
El treball de recerca és investigar un tema.
L'alumne tria el tema.
L'alumne decideix una part del tema.

### Com es fa el treball de recerca?

El treball de recerca té 5 parts.
Cada part és un pas.

#### Pas 1: Pensar i preguntar

Primer, pensa en el treball.
Pregunta't:
- El treball és per a tota la classe?
- El treball té un guió obert? (un guió obert vol dir que l'alumne pot triar més coses)
- El treball és d'una sola assignatura?
- El treball és de moltes assignatures?
- Quines eines usaré per buscar informació?

Després, fes una **hipòtesi** 💡.
Una hipòtesi és una idea que tu creus que és la resposta al teu tema.
És una resposta provisional.
Pregunta't:
- De què vull escriure?
- Quina informació necessito buscar?
- Quantes parts tindrà el meu treball?

#### Pas 2: Buscar informació

Ara, busca informació.
Hi ha moltes maneres de buscar informació.

Si busques en llibres:
- Pots anar a la biblioteca.
- Pots mirar revistes especialitzades (revistes que parlen d'un tema concret).
- Pots llegir diaris.
- Pots llegir llibres de text.
- Pots usar recursos d'internet.

Si necessites informació nova:
- Pots fer enquestes (preguntar a molta gent).
- Pots fer entrevistes (parlar amb una persona).
- Pots visitar llocs (per exemple, un museu).

La informació pot ser de dos tipus:
- **Quantitativa**: són números (per exemple, quants alumnes fan esport).
- **Qualitativa**: són opinions o descripcions (per exemple, per què els alumnes fan esport).

És molt important apuntar d'on has tret la informació.
Això es diuen **fonts** (els llocs d'on treus la informació).

#### Pas 3: Organitzar i escriure

Ja tens la informació.
Ara, organitza-la.
Fes un **índex** (una llista de les par"
ESO1_NARR__P1;gemini;Nouvingut àrab pre-A1 DUA Accés;pre-A1;Acces;1214;"## Text adaptat

### Què va ser la Revolució Francesa?

La **Revolució Francesa** (الثورة الفرنسية / al-thawra al-faransiya) va ser un temps de canvis a França.
Va començar el 5 de maig de 1789.
Va acabar el 18 de brumari de 1799.
En aquest temps, va caure l'**Antic Règim** (النظام القديم / al-nizam al-qadim).
L'Antic Règim era una manera antiga de governar.
La **burgesia** (البرجوازية / al-burjwaziya) va prendre el poder.
La burgesia era la gent amb diners, com comerciants.

### Per què va passar la Revolució Francesa?

La societat antiga no funcionava bé.
La burgesia tenia diners, però no tenia poder.
La burgesia volia canviar les coses.
La gent pobre patia per la crisi.
La crisi era un problema amb els diners i el menjar.
La gent pobre va ajudar a la revolució.
Les idees de la **Il·lustració** (التنوير / al-tanwir) van ajudar.
La Il·lustració deia que les persones són importants.
La Il·lustració volia que la gent visqués millor.

### Com va començar la Revolució Francesa?

Primer, els **privilegiats** (المميزون / al-mumayazun) es van revoltar.
Els privilegiats eren la gent rica i la noblesa.
Això va ser entre 1787 i 1789.
El rei volia diners per a França.
El rei volia que els privilegiats paguessin impostos.
Els privilegiats no volien pagar.
Els privilegiats van demanar una reunió.
Aquesta reunió es deia **Estats Generals** (الولايات العامة / al-wilayat al-amma).
Els Estats Generals es van reunir el 5 de maig de 1789.
Els **diputats** (النواب / al-nuwab) de la burgesia eren el **Tercer Estat** (الطبقة الثالثة / al-tabaqa al-thalitha).
El Tercer Estat va voler votar tots junts.
El Tercer Estat va crear l'**Assemblea Nacional** (الجمعية الوطنية / al-jam'iya al-wataniya).
Van fer un jurament.
El jurament es deia **Jeu de Paume** (جيو دو بوم / Jeu de Paume).

### Què va passar després?

La revolució va començar de veritat.
La gent de París va tenir por.
La gent de París va pensar que el rei atacaria.
El 14 de juliol de 1789, la gent va atacar la **Bastilla** (الباستي"
ESO1_NARR__P3;gemini;TDAH combinat A2 DUA Core;A2;Core;853;"## Text adaptat

#### Paraules clau
- **Revolució Francesa**: Un canvi molt gran a França que va passar fa molt de temps.
- **Estats Generals**: Una reunió de representants de la societat francesa.
- **Cop d'estat**: Quan un grup pren el poder del govern de manera ràpida i sense seguir les lleis.
- **Antic Règim**: La manera de governar i organitzar la societat a França abans de la Revolució.
- **Burgesia**: Un grup de persones amb diners, com comerciants o advocats, que no eren nobles ni clergues.
- **Il·lustració**: Un moviment de pensament que defensava la raó i la llibertat.
- **Privilegis fiscals**: Avantatges que tenien alguns grups per no pagar impostos.
- **Assemblea Nacional**: Un grup de representants que van decidir governar França.
- **Bastilla**: Una presó antiga a París, símbol del poder del rei.
- **Règim feudal**: Una manera d'organitzar la societat on els nobles tenien molt poder sobre els pagesos.
- **Declaració dels Drets de l'Home i del Ciutadà**: Un document important que diu quins drets tenen les persones.

#### Text adaptat

[Secció 1 de 4] Què va ser la Revolució Francesa?

La **Revolució Francesa** (un canvi molt gran a França) va ser un temps important a la història de França.
Va començar el 5 de maig de 1789.
Va acabar amb un **cop d'estat** (quan un grup pren el poder) el 18 de brumari de 1799.
Aquest canvi va fer caure l'**Antic Règim** (la manera de governar abans de la Revolució).
La **burgesia** (persones amb diners, com comerciants) va agafar el poder del govern.

[Secció 2 de 4] Per què va passar la Revolució?

La societat de l'Antic Règim no funcionava bé.
No s'adaptava a les noves formes de guanyar diners i de viure.
La burgesia era un grup important de la societat.
Però la burgesia no tenia poder en el govern.
Per això, la burgesia es va convertir en un grup revolucionari.
Les persones més pobres també van patir una crisi econòmica.
Aquestes persones van ajudar a fer la revolució.
Les idees de la **Il·lustració** (un moviment de "
ESO1_NARR__P4;gemini;TEA nivell 2 B1 DUA Core;B1;Core;1096;"## Text adaptat
La **Revolució Francesa** (un període de canvis importants a França) va començar el 5 de maig de 1789. Va acabar el 9 de novembre de 1799. Durant aquest temps, va caure l'**Antic Règim** (el sistema de govern antic). La **burgesia** (la classe social de comerciants i professionals) va prendre el poder polític.

### Per què va passar la Revolució Francesa?
La societat de l'Antic Règim no funcionava bé. No s'adaptava a la nova economia ni a la nova societat. La burgesia era el grup més actiu de la societat. Però no tenia poder polític. Per això, la burgesia es va convertir en una **classe revolucionària** (un grup que volia canviar el sistema).

Les **classes populars** (la gent normal) patien una crisi econòmica. Per això, van ajudar la revolució amb la seva força.

La **Il·lustració** (un moviment de pensament del segle XVIII) va donar idees per al canvi. Aquesta filosofia deia que les persones tenen dignitat. També parlava de progrés i felicitat.

### Com va començar la Revolució?
Primer, hi va haver una **revolta dels privilegiats** (una protesta dels nobles i el clergat). Això va passar entre 1787 i 1789. Els ministres del rei volien solucionar la crisi econòmica. Per fer-ho, volien treure els **privilegis fiscals** (avantatges per no pagar impostos) als nobles i al clergat.

L'**Assemblea de Notables** (un grup de nobles) i els **Parlaments** (tribunals de justícia) no van voler acceptar aquestes reformes. Van demanar que es convoquessin els **Estats Generals** (una assemblea amb representants dels tres grups socials). Els Estats Generals es van reunir a Versalles el 5 de maig de 1789.

Els diputats de la burgesia eren el **Tercer Estat** (el grup que representava la majoria de la població). Ells van demanar que tots els grups votessin junts. Després, es van convertir en **Assemblea Nacional** (una assemblea que representava tota la nació). Van fer el **jurament del Jeu de Paume** (un jurament per no separar-se fins a tenir una constitució).

###"
ESO1_NARR__P6;gemini;DI lleugera pre-A1 DUA Accés;pre-A1;Acces;549;"## Text adaptat

### Paraules clau

*   **Revolució Francesa** 🇫🇷: un canvi molt gran a França.
*   **Antic Règim** 👑: la manera antiga de governar a França.
*   **Burgesia** 🧑‍💼: gent amb diners que no eren nobles.
*   **Il·lustració** 💡: idees noves per pensar millor.
*   **Estats Generals** 🗣️: una reunió important a França.
*   **Bastilla** 🏰: una presó antiga a París.

### Què va ser la Revolució Francesa?

La **Revolució Francesa** 🇫🇷 va ser un canvi molt gran a França.
Va començar el 5 de maig de 1789.
Va acabar el 18 de brumari de 1799.
La **Revolució Francesa** va fer caure l'**Antic Règim** (la manera antiga de governar).
La **burgesia** (gent amb diners) va agafar el poder.

### Com era la societat abans de la Revolució?

Abans, la societat tenia l'**Antic Règim**.
Aquesta societat no era bona per a la gent nova.
La **burgesia** tenia diners.
Però la **burgesia** no tenia poder.
La **burgesia** volia canviar les coses.
La gent normal també patia.
La gent normal no tenia menjar.
La gent normal va ajudar a la **Revolució Francesa**.
Les idees de la **Il·lustració** (idees noves) van ajudar.
Aquestes idees deien que les persones són importants.
Aquestes idees deien que la gent ha de ser feliç.

### Com va començar la Revolució Francesa?

Els ministres del rei volien diners.
Els ministres volien treure privilegis.
Els nobles no volien pagar impostos.
Els nobles es van negar.
Els nobles van demanar una reunió.
Aquesta reunió es deia **Estats Generals**.
Els **Estats Generals** es van reunir el 5 de maig de 1789.
La **burgesia** volia parlar amb tots.
La **burgesia** va formar l'Assemblea Nacional.
Van fer un jurament important.

### Què va passar al principi de la Revolució?

La gent de París va tenir por.
La gent de París va pensar que el rei atacaria.
El 14 de juliol de 1789, la gent va atacar la **Bastilla** (una presó).
La **Bastilla** era un símbol del rei.
L'Assemblea va treure les lleis antigues.
L'Assemblea va fer una declaració.
Aquesta declaració dei"
ESO1_NARR__P7;gemini;Altes capacitats B2 DUA Enriquiment;B2;Enriquiment;1016;"## Text adaptat
La **Revolució Francesa** (1789-1799) va ser un període de grans canvis a França. Va començar el 5 de maig de 1789 amb la formació dels **Estats Generals** (una assemblea representativa dels tres estaments socials) i va acabar el 9 de novembre de 1799 amb un cop d'estat. Aquest procés històric va provocar la fi de l'**Antic Règim** (el sistema polític i social anterior a la Revolució) i va permetre que la **burgesia** (la classe social formada per comerciants, professionals i propietaris) prengués el poder polític.

### Causes i fonaments ideològics de la Revolució Francesa

1.  **Desajust social i econòmic**: La societat de l'Antic Règim no s'adaptava a la nova realitat econòmica i social. Aquest sistema excloïa la burgesia del poder polític, tot i ser el sector més dinàmic i influent econòmicament. Per tant, la burgesia es va convertir en la principal força revolucionària.
2.  **Crisi econòmica i descontentament popular**: Les classes populars, que patien una greu crisi econòmica, van ser les que van proporcionar la força de xoc per a la revolució. La seva desesperació va ser un motor crucial per a la mobilització.
3.  **Influència de la Il·lustració**: La filosofia de la **Il·lustració** (un moviment intel·lectual del segle XVIII que defensava la raó, la llibertat i la igualtat) va establir les bases ideològiques del canvi. Pensadors il·lustrats van proclamar la dignitat de l'ésser humà i van promoure els ideals de progrés i felicitat, qüestionant l'ordre establert.

### L'etapa preliminar: La revolta dels privilegiats

L'etapa inicial de la Revolució Francesa va ser la **revolta dels privilegiats** (1787-1789). Aquesta revolta va sorgir quan els ministres de la monarquia van intentar solucionar la crisi econòmica eliminant els privilegis fiscals de la noblesa i el clergat. No obstant això, l'**Assemblea de Notables** (una assemblea de nobles i clergues escollits pel rei) i els **Parlaments** (tribunals de justícia amb funcions polítiques) es van "
ESO2_ARGU__P1;gemini;Nouvingut àrab pre-A1 DUA Accés;pre-A1;Acces;1354;"## Text adaptat

### Què són els Drets Humans?

Els **Drets Humans** (حقوق الإنسان / ḥuqūq al-insān) són coses importants que totes les persones han de tenir.
Aquests drets ajuden les persones a viure bé.
L'any 1948, un grup de països va fer un paper.
Aquest paper es diu **Declaració Universal dels Drets Humans** (الإعلان العالمي لحقوق الإنسان / al-iʿlān al-ʿālamī li-ḥuqūq al-insān).
L'ONU (Organització de les Nacions Unides) va fer aquest paper a París.
L'ONU és un grup de països que treballen junts.
El paper diu que totes les persones tenen dret a viure.
També diu que totes les persones tenen dret a ser lliures.
Totes les persones tenen dret a estar segures.
Totes les persones tenen dret a ajuntar-se amb altres.
Totes les persones tenen dret a defensar-se si algú les tracta malament.
Aquests són drets molt importants.
Ningú pot treure aquests drets a una persona.

### Per què els Drets Humans són per a tothom?

Moltes cultures pensen que les persones són importants.
Això es diu **dignitat** (كرامة / karāma).
La dignitat vol dir que totes les persones mereixen respecte.
Això ha passat en molts llocs i en molts moments.
Per exemple, l'any 1222, hi va haver un paper a l'Imperi de Mali.
Aquest paper també parlava de respectar les persones.
Això vol dir que la idea de respectar les persones és antiga.
És una idea que moltes cultures comparteixen.
Els Drets Humans es divideixen en tres grups.
El primer grup són els drets de llibertat.
Per exemple, poder dir el que penses.
El segon grup són els drets d'igualtat.
Per exemple, tenir feina o anar a l'escola.
El tercer grup són els drets de solidaritat.
Per exemple, ajudar altres països.

### Hi ha persones que no estan d'acord?

Algunes persones pensen que els Drets Humans no són per a tothom.
Això es diu **relativisme cultural** (النسبية الثقافية / an-nisbiyya ath-thaqāfiyya).
Aquestes persones diuen que cada cultura és diferent.
Per tant, no pot haver-hi un paper que sigui bo per a totes les cultures.
Diuen que el paper d"
